query,intent,query_len,label
can i visit IT Classroom 102 now,ask_hours,7,8
how do i get to Robotics and Automation Department,find_location,9,15
my phone got stolen where do i report,lost_found,8,16
tell me about Management,ask_department,4,3
is there a coding club,ask_club,5,1
how to adjust to university life,social_life,6,20
tell me about Mechanical Engineering,ask_department,5,3
I need help with my CV,ask_placement,6,9
i need a peaceful place to work,recommend_place,7,18
how to socialise at university,social_life,5,20
where can i get my id card reissued,service_query,8,19
where can I get career counselling,ask_placement,6,9
where can i take a break between classes,recommend_place,8,18
where can i ask general questions,ask_contact,6,2
where can i return books,service_query,5,19
best place to propose,fallback,4,14
is there still time to apply,ask_admission,6,0
how to get hostel allotment,ask_hostel,5,7
events at student union,ask_event,4,4
how do I apply for admission,ask_admission,6,0
yoga club schedule,ask_club,3,1
financial aid office location,ask_scholarship,4,10
inter department sports meet,ask_fest,4,6
how to balance studies and social life,social_life,7,20
what is Student Union used for,facility_info,6,12
how to get fee relaxation,ask_scholarship,5,10
opening hours of IT Department Washrooms,ask_hours,6,8
tell me the time,fallback,4,14
career guidance sessions,ask_placement,3,9
fee waiver process,ask_scholarship,3,10
hostel common room timing,ask_hostel,4,7
what is the price of tea,menu_query,6,17
film club at university,ask_club,4,1
how to register for the fest,ask_fest,6,6
friday special menu,menu_query,3,17
what services does HUM Classroom 602 provide,facility_info,7,12
drama club auditions,ask_club,3,1
food festival on campus,ask_fest,4,6
who manages document queries,ask_contact,4,2
student enrollment process,ask_admission,3,0
where is lost and found,lost_found,5,16
what services does Training and Placement Cell provide,facility_info,8,12
sports day this year,ask_fest,4,6
film club at university,ask_club,4,1
who should i contact for Ground Floor Emergency Exit,ask_contact,9,2
i have fever,emergency,3,11
internet is not working on my laptop,service_query,7,19
tell me about Outdoor Canteen Terrace,facility_info,6,12
where can i pay fees,service_query,5,19
degree certificate collection,ask_exam,3,5
i found someone bag what should i do,lost_found,8,16
how do I apply for admission,ask_admission,6,0
where is ROBO Classroom 502,find_location,5,15
where is Electrical Engineering faculty room,faculty_query,6,13
i found keys near the cafeteria,lost_found,6,16
i lost my bag,lost_found,4,16
hostel allotment process,ask_hostel,3,7
who should i contact for Electronics Lab,ask_contact,7,2
what snacks are available,menu_query,4,17
cultural night programme,ask_fest,3,6
someone is injured,emergency,3,11
i found keys near the cafeteria,lost_found,6,16
admission for transfer students,ask_admission,4,0
someone stole my laptop what do i do,lost_found,8,16
admission process for MBA,ask_admission,4,0
friday special menu,menu_query,3,17
business plan competition,ask_fest,3,6
where can i sit with laptop,recommend_place,6,18
i need a peaceful place to work,recommend_place,7,18
music fest at university,ask_fest,4,6
food festival on campus,ask_fest,4,6
aptitude test for placements,ask_placement,4,9
i want to propose a girl,fallback,6,14
what is Hostel Office used for,facility_info,6,12
provisional certificate collection,ask_exam,3,5
how does campus placement work,ask_placement,5,9
internship opportunities on campus,ask_placement,4,9
how to join a club,ask_club,5,1
where can i make friends,fallback,5,14
tell me about Mechanical Engineering,ask_department,5,3
from library to cafeteria,find_location,4,15
show me upcoming events,ask_event,4,4
coffee price,menu_query,2,17
backlog exam schedule,ask_exam,3,5
best place to propose,fallback,4,14
where is the hod office of Electronics and Communication Engineering,faculty_query,10,13
any events today,ask_event,3,4
where can i do group study,recommend_place,6,18
faculty room for Electronics and Communication Engineering,faculty_query,7,13
any events today,ask_event,3,4
dance competition on campus,ask_fest,4,6
where can i relax after class,recommend_place,6,18
social clubs for students,social_life,4,20
i need bandage,emergency,3,11
fellowship opportunities campus,ask_scholarship,3,10
photography club meetings,ask_club,3,1
where to apply for financial aid,ask_scholarship,6,10
provisional certificate collection,ask_exam,3,5
hostel fees and charges,ask_hostel,4,7
what facilities are in AI&DS Faculty Room,facility_info,7,12
sports club registration,ask_club,3,1
lost my wallet,lost_found,3,16
is Hostel Office open today,ask_hours,5,8
who handles hostel issues,ask_contact,4,2
who should i contact for HOD Office - Electronics and Communication Engineering,ask_contact,12,2
what is Final Year Project Lab used for,facility_info,8,12
what time does the gym open,ask_hours,6,8
international student social events,social_life,4,20
what does Staff Parking Area offer,facility_info,6,12
from cse to gym,find_location,4,15
where can i find Outdoor Canteen Terrace,find_location,7,15
aptitude test for placements,ask_placement,4,9
where is the canteen,find_location,4,15
any events today,ask_event,3,4
hostel curfew timing,ask_hostel,3,7
what facilities are in Main Auditorium,facility_info,6,12
weekend activities on campus,social_life,4,20
menu for today,menu_query,3,17
science exhibition campus,ask_fest,3,6
staff room for Humanities and Communication,faculty_query,6,13
how to get hostel allotment,ask_hostel,5,7
where can i prepare for exams,recommend_place,6,18
education loan guidance,ask_scholarship,3,10
I feel lonely on campus,social_life,5,20
hostel mess menu,ask_hostel,3,7
lost my watch,lost_found,3,16
who is the placement officer,ask_placement,5,9
my friend fainted in the robotics lab what do i do,emergency,11,11
my friend fainted in the robotics lab what do i do,emergency,11,11
who manages document queries,ask_contact,4,2
where can i ask general questions,ask_contact,6,2
i hurt my hand,emergency,4,11
which floor is Chemical Engineering department,ask_department,6,3
how do i cook pasta,fallback,5,14
anything happening on campus,ask_event,4,4
fee waiver process,ask_scholarship,3,10
sports club registration,ask_club,3,1
give me details about HOD Office - Computer Science Engineering,facility_info,10,12
i am bleeding,emergency,3,11
hostel laundry facility,ask_hostel,3,7
how do i go from ATM to the library,find_location,9,15
cultural fest this year,ask_fest,4,6
which floor is Artificial Intelligence and Data Science department,ask_department,9,3
what does CHE Classroom 401 offer,facility_info,6,12
career guidance sessions,ask_placement,3,9
hostel rules and regulations,ask_hostel,4,7
answer sheet re-checking process,ask_exam,4,5
hostel canteen timing,ask_hostel,3,7
scholarship for international students,ask_scholarship,4,10
my wifi is not working,service_query,5,19
what time does the gym open,ask_hours,6,8
suggest a quiet study place,recommend_place,5,18
gaming club details,ask_club,3,1
industry visit schedule,ask_placement,3,9
new student orientation details,ask_admission,4,0
where can i ask general questions,ask_contact,6,2
i feel like vomiting,emergency,4,11
who won the match,fallback,4,14
where do lecturers sit,faculty_query,4,13
sports tournament schedule,ask_fest,3,6
scholarship interview process,ask_scholarship,3,10
i have fever,emergency,3,11
show me the way to Reading Room,find_location,7,15
technical fest schedule,ask_fest,3,6
events at student union,ask_event,4,4
where can i meet my project supervisor,faculty_query,7,13
what is love,fallback,3,14
what are the intake dates,ask_admission,5,0
what does Civil Engineering department offer,ask_department,6,3
where is Chemical Engineering faculty room,faculty_query,6,13
I want to apply to this university,ask_admission,7,0
where is Management department,ask_department,4,3
price of tea,menu_query,3,17
events at student union,ask_event,4,4
what is Electrical Engineering Department used for,facility_info,7,12
how to adjust to university life,social_life,6,20
I feel lonely on campus,social_life,5,20
book me a flight,fallback,4,14
scholarship for international students,ask_scholarship,4,10
from cse to gym,find_location,4,15
where should i report lost item,lost_found,6,16
tell me about Artificial Intelligence and Data Science,ask_department,8,3
where can i meet my project supervisor,faculty_query,7,13
exam fee payment deadline,ask_exam,4,5
what is AI&DS Classroom 201 used for,facility_info,7,12
where can visitors ask for help,ask_contact,6,2
practical exam schedule,ask_exam,3,5
friendly places on campus,social_life,4,20
how do I apply for admission,ask_admission,6,0
where can i find Civil Engineering Department,find_location,7,15
I miss home tips for new students,social_life,7,20
student social events this week,social_life,5,20
how to get hostel allotment,ask_hostel,5,7
how to prepare for campus interviews,ask_placement,6,9
can i visit Stationery Store now,ask_hours,6,8
is there any scholarship available,ask_scholarship,5,10
someone stole my laptop what do i do,lost_found,8,16
location of ME Faculty Room,find_location,5,15
hostel curfew timing,ask_hostel,3,7
what is on today,ask_event,4,4
i need a no objection certificate,service_query,6,19
where can i return books,service_query,5,19
my phone got stolen where do i report,lost_found,8,16
i lost my bag,lost_found,4,16
how does campus placement work,ask_placement,5,9
scholarship office location,ask_scholarship,3,10
hostel curfew timing,ask_hostel,3,7
i feel like vomiting,emergency,4,11
how do I register as a new student,ask_admission,8,0
dance club on campus,ask_club,4,1
tuition fee instalment plan,ask_scholarship,4,10
is Chemical Engineering Lab open today,ask_hours,6,8
how to prepare for campus interviews,ask_placement,6,9
is there a coding club,ask_club,5,1
welcome week schedule,ask_admission,3,0
boys hostel details,ask_hostel,3,7
when is the annual fest,ask_fest,5,6
grace marks policy,ask_exam,3,5
what is the news today,fallback,5,14
any seminar this week,ask_event,4,4
i need a peaceful place to work,recommend_place,7,18
what is on today,ask_event,4,4
how to get involved in campus activities,social_life,7,20
where can i get bonafide certificate,service_query,6,19
where can visitors ask for help,ask_contact,6,2
entrepreneurship summit,ask_fest,2,6
who should i contact for HOD Office - Chemical Engineering,ask_contact,10,2
where can i meet my project supervisor,faculty_query,7,13
what is HOD Office - Electronics and Communication Engineering used for,facility_info,11,12
i lost my student id card,lost_found,6,16
internet is not working on my laptop,service_query,7,19
where can i get bonafide certificate,service_query,6,19
where do teachers sit in Computer Science Engineering,faculty_query,8,13
how much is coffee,menu_query,4,17
where do lecturers sit,faculty_query,4,13
what does Hostel Office offer,facility_info,5,12
where can i meet my project supervisor,faculty_query,7,13
where can i sit with laptop,recommend_place,6,18
tell me about Biotechnology,ask_department,4,3
what time does the gym open,ask_hours,6,8
someone is injured,emergency,3,11
i want to propose a girl,fallback,6,14
merit scholarship details,ask_scholarship,3,10
location of Civil Engineering Department,find_location,5,15
friendly places on campus,social_life,4,20
i think someone stole my phone,lost_found,6,16
i found someone phone,lost_found,4,16
hostel wifi details,ask_hostel,3,7
opening hours of Reading Room,ask_hours,5,8
what is the weather,fallback,4,14
how much does lunch cost,menu_query,5,17
I miss home tips for new students,social_life,7,20
where can i get bonafide certificate,service_query,6,19
can i visit Electrical Engineering Department now,ask_hours,7,8
i found a bag in the classroom,lost_found,7,16
where is a comfortable place to sit,recommend_place,7,18
financial aid office location,ask_scholarship,4,10
practical exam schedule,ask_exam,3,5
what day is today,fallback,4,14
where can visitors ask for help,ask_contact,6,2
result announcement date,ask_exam,3,5
i accidentally cut myself,emergency,4,11
from cse to gym,find_location,4,15
industry visit schedule,ask_placement,3,9
best place to read on campus,recommend_place,6,18
science exhibition campus,ask_fest,3,6
I miss home tips for new students,social_life,7,20
best place to study on campus,recommend_place,6,18
how do i cook pasta,fallback,5,14
hostel visiting hours,ask_hostel,3,7
how do i go from Multi-Faith Prayer Room to the library,find_location,11,15
which floor is Computer Science Engineering department,ask_department,7,3
where can i study quietly,recommend_place,5,18
hostel notice board,ask_hostel,3,7
how to apply for scholarship,ask_scholarship,5,10
resume building workshop,ask_placement,3,9
when is AI&DS Faculty Room open,ask_hours,6,8
where is Chemical Engineering department,ask_department,5,3
suggest a calm place on campus,recommend_place,6,18
drama club auditions,ask_club,3,1
where can i get wifi password,service_query,6,19
where can i meet my professor,faculty_query,6,13
yoga club schedule,ask_club,3,1
peer mentorship programme,ask_club,3,1
where can i relax after class,recommend_place,6,18
hostel security details,ask_hostel,3,7
I want to apply to this university,ask_admission,7,0
who handles hostel issues,ask_contact,4,2
who is the contact for AI and Data Science Department Washrooms,ask_contact,11,2
who handles hostel issues,ask_contact,4,2
where can i find Robotics and Automation Department,find_location,8,15
hostel curfew timing,ask_hostel,3,7
sports scholarship campus,ask_scholarship,3,10
i need a peaceful place to work,recommend_place,7,18
technical fest schedule,ask_fest,3,6
what movie should i watch,fallback,5,14
where can I hang out on campus,social_life,7,20
what workshops are happening,ask_event,4,4
which floor is Mechanical Engineering department,ask_department,6,3
language learning club,ask_club,3,1
events at student union,ask_event,4,4
where can i get lunch,menu_query,5,17
what is on the menu today,menu_query,6,17
where do lecturers sit,faculty_query,4,13
where do teachers sit in Chemical Engineering,faculty_query,7,13
what time does Ground Floor Emergency Exit close,ask_hours,8,8
where is lost and found,lost_found,5,16
how much does lunch cost,menu_query,5,17
highest package in placements,ask_placement,4,9
tell me about Ground Floor Washrooms,facility_info,6,12
what is the fee structure,ask_admission,5,0
who manages document queries,ask_contact,4,2
suggest a calm place on campus,recommend_place,6,18
is the library open now,ask_hours,5,8
what is the price of tea,menu_query,6,17
where is Electrical Engineering faculty room,faculty_query,6,13
tell me about Biotechnology,ask_department,4,3
exam hall rules,ask_exam,3,5
how to get a student ID after admission,ask_admission,8,0
i feel dizzy,emergency,3,11
who qualifies for scholarship,ask_scholarship,4,10
what is the fee structure,ask_admission,5,0
who is the placement officer,ask_placement,5,9
i found someone bag what should i do,lost_found,8,16
where can I get career counselling,ask_placement,6,9
dance club on campus,ask_club,4,1
what labs are in Computer Science Engineering,ask_department,7,3
what facilities are in Mechanical Department Washrooms,facility_info,7,12
where can i ask general questions,ask_contact,6,2
what is HOD Office - Humanities and Communication Department used for,facility_info,11,12
where is Humanities and Communication faculty room,faculty_query,7,13
what is Networking Lab used for,facility_info,6,12
how to apply for exam leave,ask_exam,6,5
admission process for MBA,ask_admission,4,0
where is lost and found,lost_found,5,16
someone stole my laptop what do i do,lost_found,8,16
where can i do group study,recommend_place,6,18
how do I apply for admission,ask_admission,6,0
what is todays date,fallback,4,14
where can i find Careers and Employability Office,find_location,8,15
hostel leave application,ask_hostel,3,7
from library to cafeteria,find_location,4,15
where is the hod office of Electrical Engineering,faculty_query,8,13
financial assistance for students,ask_scholarship,4,10
what does MBA Classroom 601 offer,facility_info,6,12
highest package in placements,ask_placement,4,9
i need emergency help,emergency,4,11
is there a girls hostel,ask_hostel,5,7
any seminar this week,ask_event,4,4
who should i contact for Electrical Department Washrooms,ask_contact,8,2
which floor is BIO Classroom 502,find_location,6,15
startup pitch event,ask_fest,3,6
buddy programme for new students,social_life,5,20
where do teachers sit in Computer Science Engineering,faculty_query,8,13
hostel rules and regulations,ask_hostel,4,7
i have stomachache,emergency,3,11
best place to study on campus,recommend_place,6,18
what is todays date,fallback,4,14
someone stole my laptop what do i do,lost_found,8,16
where is the hostel,ask_hostel,4,7
grade sheet collection,ask_exam,3,5
where is the cafeteria,find_location,4,15
can i visit Girls Common Room now,ask_hours,7,8
what services does ROBO Classroom 501 provide,facility_info,7,12
science exhibition campus,ask_fest,3,6
any seminar this week,ask_event,4,4
hostel gate pass procedure,ask_hostel,4,7
price of samosa,menu_query,3,17
what are the timings of Library Floor Water Dispenser,ask_hours,9,8
opening hours of Group Study Room,ask_hours,6,8
where can i get my id card reissued,service_query,8,19
debate competition details,ask_fest,3,6
what is todays date,fallback,4,14
i found someone phone,lost_found,4,16
internal assessment marks,ask_exam,3,5
science exhibition campus,ask_fest,3,6
lost property office,lost_found,3,16
give me details about Transport Office,facility_info,6,12
who manages document queries,ask_contact,4,2
scholarship office location,ask_scholarship,3,10
play some music,fallback,3,14
staff room for Mechanical Engineering,faculty_query,5,13
where is Robotics and Automation department,ask_department,6,3
entrepreneurship club,ask_club,2,1
mid semester exam dates,ask_exam,4,5
which floor is Computer Science Engineering department,ask_department,7,3
i lost my bag,lost_found,4,16
what does Information Technology department offer,ask_department,6,3
who handles admissions,ask_admission,3,0
can I still enroll this semester,ask_admission,6,0
i cut my finger,emergency,4,11
what time does MBA Classroom 602 close,ask_hours,7,8
international student social events,social_life,4,20
how to apply for exam leave,ask_exam,6,5
backlog exam schedule,ask_exam,3,5
show me upcoming events,ask_event,4,4
where is Computer Science Engineering faculty room,faculty_query,7,13
where can visitors ask for help,ask_contact,6,2
what is CSE Department Washrooms used for,facility_info,7,12
where do teachers sit in Artificial Intelligence and Data Science,faculty_query,10,13
i lost my student id card,lost_found,6,16
student clubs at campus,ask_club,4,1
what labs are in Humanities and Communication,ask_department,7,3
what labs are in Chemical Engineering,ask_department,6,3
what food is available now,menu_query,5,17
language learning club,ask_club,3,1
how to get fee relaxation,ask_scholarship,5,10
quiz competition campus,ask_fest,3,6
who handles admissions,ask_admission,3,0
where can i meet my project supervisor,faculty_query,7,13
what time is it,fallback,4,14
farewell party for final year,ask_fest,5,6
what labs are in Humanities and Communication,ask_department,7,3
faculty room for Civil Engineering,faculty_query,5,13
how much is coffee,menu_query,4,17
arrear examination details,ask_exam,3,5
who manages document queries,ask_contact,4,2
i lost my bag,lost_found,4,16
where is lost and found,lost_found,5,16
i think i am having an anxiety attack,emergency,8,11
career guidance sessions,ask_placement,3,9
eligibility criteria for BTech,ask_admission,4,0
what facilities are in ROBO Classroom 502,facility_info,7,12
backlog exam schedule,ask_exam,3,5
where can i make friends,fallback,5,14
events at student union,ask_event,4,4
where can i meet a girlfriend,fallback,6,14
hostel allotment process,ask_hostel,3,7
what time is it,fallback,4,14
what workshops are happening,ask_event,4,4
hostel rules and regulations,ask_hostel,4,7
what labs are in Computer Science Engineering,ask_department,7,3
where can i charge my laptop,service_query,6,19
I miss home tips for new students,social_life,7,20
i lost my bag,lost_found,4,16
mid semester exam dates,ask_exam,4,5
student newspaper club,ask_club,3,1
what time does the gym open,ask_hours,6,8
exam fee payment deadline,ask_exam,4,5
how to get involved on campus,ask_club,6,1
overnight stay in hostel,ask_hostel,4,7
staff room for Artificial Intelligence and Data Science,faculty_query,8,13
menu for today,menu_query,3,17
overnight stay in hostel,ask_hostel,4,7
i found keys near the cafeteria,lost_found,6,16
i need to take a printout urgently,service_query,7,19
cultural fest this year,ask_fest,4,6
scholarship for international students,ask_scholarship,4,10
gaming club details,ask_club,3,1
tell me about Electrical Engineering,ask_department,5,3
internship opportunities on campus,ask_placement,4,9
where can i meet my professor,faculty_query,6,13
buddy programme for new students,social_life,5,20
how do i go from Boys Hostel to the library,find_location,10,15
events at student union,ask_event,4,4
who is the president,fallback,4,14
result announcement date,ask_exam,3,5
debate competition details,ask_fest,3,6
how to network with students,social_life,5,20
what is on today,ask_event,4,4
hackathon on campus,ask_fest,3,6
student council elections,ask_club,3,1
where is the canteen,find_location,4,15
what time does the gym open,ask_hours,6,8
education loan guidance,ask_scholarship,3,10
where is the hod office of Chemical Engineering,faculty_query,8,13
cultural club activities,ask_club,3,1
suggest a calm place on campus,recommend_place,6,18
lost my wallet,lost_found,3,16
what day is today,fallback,4,14
placement cell opening hours,ask_placement,4,9
internet is not working on my laptop,service_query,7,19
i need a peaceful place to work,recommend_place,7,18
i found keys near the cafeteria,lost_found,6,16
what movie should i watch,fallback,5,14
is there still time to apply,ask_admission,6,0
who won the match,fallback,4,14
merit scholarship details,ask_scholarship,3,10
what are the timings of Hostel Office,ask_hours,7,8
who is the contact for ECE Classroom 202,ask_contact,8,2
entrepreneurship club,ask_club,2,1
how to get admission in computer science,ask_admission,7,0
faculty room for Mechanical Engineering,faculty_query,5,13
i have stomachache,emergency,3,11
where should i report lost item,lost_found,6,16
what movie should i watch,fallback,5,14
give me details about CHE Faculty Room,facility_info,7,12
financial assistance for students,ask_scholarship,4,10
is Boys Hostel open now,ask_hours,5,8
industry visit schedule,ask_placement,3,9
where can i print assignment,service_query,5,19
i need a quiet corner with good wifi,recommend_place,8,18
what snacks are available,menu_query,4,17
what does Artificial Intelligence and Data Science department offer,ask_department,9,3
what is Group Study Room used for,facility_info,7,12
I want to apply to this university,ask_admission,7,0
what movie should i watch,fallback,5,14
sports club registration,ask_club,3,1
hostel visiting hours,ask_hostel,3,7
student clubs at campus,ask_club,4,1
scholarship amount details,ask_scholarship,3,10
where can i relax after class,recommend_place,6,18
what labs are in Electronics and Communication Engineering,ask_department,8,3
any seminar this week,ask_event,4,4
how to get admission in computer science,ask_admission,7,0
i need to charge my phone urgently,service_query,7,19
what does Civil Engineering Lab offer,facility_info,6,12
where do teachers sit in Humanities and Communication,faculty_query,8,13
is there a girls hostel,ask_hostel,5,7
tell me about AI&DS Classroom 201,facility_info,6,12
where can i meet my professor,faculty_query,6,13
i lost my bag,lost_found,4,16
meeting classmates outside class,social_life,4,20
where is lost and found,lost_found,5,16
navigate to Civil Engineering Lab,find_location,5,15
where can i get my id card reissued,service_query,8,19
what is the news today,fallback,5,14
how does campus placement work,ask_placement,5,9
placement cell opening hours,ask_placement,4,9
who is the placement officer,ask_placement,5,9
where can i meet my professor,faculty_query,6,13
any seminar this week,ask_event,4,4
what does Computer Science Engineering department offer,ask_department,7,3
freshers party details,ask_fest,3,6
what does Chemical Engineering department offer,ask_department,6,3
attendance requirement for exams,ask_exam,4,5
i need a no objection certificate,service_query,6,19
what is on the menu today,menu_query,6,17
where can i sit with laptop,recommend_place,6,18
how to get admission in computer science,ask_admission,7,0
tell me a joke,fallback,4,14
tea price,menu_query,2,17
grace marks policy,ask_exam,3,5
who manages document queries,ask_contact,4,2
highest package in placements,ask_placement,4,9
i found keys near the cafeteria,lost_found,6,16
location of Electrical Engineering Department,find_location,5,15
anything happening on campus,ask_event,4,4
is Biotechnology Lab open today,ask_hours,5,8
who handles hostel issues,ask_contact,4,2
is Printing and Copying Room open today,ask_hours,7,8
where can i meet my professor,faculty_query,6,13
show me upcoming events,ask_event,4,4
film club at university,ask_club,4,1
activities to meet people campus,social_life,5,20
is there any scholarship available,ask_scholarship,5,10
where can i issue books,service_query,5,19
any guest lecture today,ask_event,4,4
play some music,fallback,3,14
staff room for Electrical Engineering,faculty_query,5,13
tell me about Biotechnology Lab,facility_info,5,12
campus community events,social_life,3,20
business plan competition,ask_fest,3,6
student enrollment process,ask_admission,3,0
what are the timings of Main Cafeteria,ask_hours,7,8
tell me the time,fallback,4,14
i feel like vomiting,emergency,4,11
where can i sit and focus on my assignment,recommend_place,9,18
show me upcoming events,ask_event,4,4
career guidance sessions,ask_placement,3,9
anything happening on campus,ask_event,4,4
what is the price of tea,menu_query,6,17
suggest a calm place on campus,recommend_place,6,18
art exhibition schedule,ask_fest,3,6
overnight stay in hostel,ask_hostel,4,7
boys hostel details,ask_hostel,3,7
sports club registration,ask_club,3,1
what facilities are in Scholarship Office,facility_info,6,12
hostel curfew timing,ask_hostel,3,7
what is the fee structure,ask_admission,5,0
who is the contact for HOD Office - Humanities and Communication Department,ask_contact,12,2
where can i charge my laptop,service_query,6,19
location of Civil Engineering Lab,find_location,5,15
scholarship amount details,ask_scholarship,3,10
cultural night programme,ask_fest,3,6
where is Electronics and Communication Engineering department,ask_department,7,3
who manages document queries,ask_contact,4,2
music fest at university,ask_fest,4,6
my wifi is not working,service_query,5,19
i think someone stole my phone,lost_found,6,16
staff room for Artificial Intelligence and Data Science,faculty_query,8,13
where can I get career counselling,ask_placement,6,9
arrear examination details,ask_exam,3,5
where is lost and found,lost_found,5,16
my wifi is not working,service_query,5,19
suggest a quiet study place,recommend_place,5,18
transcript request process,ask_exam,3,5
directions to Student Union,find_location,4,15
show me upcoming events,ask_event,4,4
hostel canteen timing,ask_hostel,3,7
what are the intake dates,ask_admission,5,0
can i pay with student card,menu_query,6,17
show me upcoming events,ask_event,4,4
any events today,ask_event,3,4
where can i meet a girlfriend,fallback,6,14
resume building workshop,ask_placement,3,9
any seminar this week,ask_event,4,4
weekend activities on campus,social_life,4,20
degree certificate collection,ask_exam,3,5
who organises the annual day,ask_fest,5,6
show me upcoming events,ask_event,4,4
co-curricular activities details,ask_club,3,1
my friend is unconscious,emergency,4,11
how to check exam results online,ask_exam,6,5
tell me about Robotics and Automation,ask_department,6,3
hostel room availability,ask_hostel,3,7
where can i ask general questions,ask_contact,6,2
who is the contact for BIO Classroom 501,ask_contact,8,2
mid semester exam dates,ask_exam,4,5
where is Electrical Engineering department,ask_department,5,3
where is lost and found,lost_found,5,16
who is the contact for IT Classroom 102,ask_contact,8,2
stipend for research students,ask_scholarship,4,10
i hurt my hand,emergency,4,11
fee concession process,ask_scholarship,3,10
navigate to CE Classroom 401,find_location,5,15
suggest a quiet study place,recommend_place,5,18
recreational facilities on campus,social_life,4,20
what is on today,ask_event,4,4
any seminar this week,ask_event,4,4
i found a bag in the classroom,lost_found,7,16
can i pay with student card,menu_query,6,17
what is the last date for admission,ask_admission,7,0
robotics competition schedule,ask_fest,3,6
friendly places on campus,social_life,4,20
faculty room for Electronics and Communication Engineering,faculty_query,7,13
can i pay with student card,menu_query,6,17
where can visitors ask for help,ask_contact,6,2
music club details,ask_club,3,1
i found someone phone,lost_found,4,16
where can i get lunch,menu_query,5,17
education loan guidance,ask_scholarship,3,10
show me upcoming events,ask_event,4,4
i think someone stole my phone,lost_found,6,16
opening hours of Campus Bus Stop,ask_hours,6,8
where is the hod office of Information Technology,faculty_query,8,13
what is bitcoin price,fallback,4,14
coding competition details,ask_fest,3,6
resume building workshop,ask_placement,3,9
i want to propose a girl,fallback,6,14
open mic night campus,ask_fest,4,6
how to join a club,ask_club,5,1
i think someone stole my phone,lost_found,6,16
i am having trouble breathing,emergency,5,11
what is the last date for admission,ask_admission,7,0
lost my watch,lost_found,3,16
debate competition details,ask_fest,3,6
give me details about Library Book Issue Counter,facility_info,8,12
what food is available now,menu_query,5,17
who handles admissions,ask_admission,3,0
who handles hostel issues,ask_contact,4,2
menu for today,menu_query,3,17
how do i cook pasta,fallback,5,14
what labs are in Artificial Intelligence and Data Science,ask_department,9,3
i need a peaceful place to work,recommend_place,7,18
i need a no objection certificate,service_query,6,19
who qualifies for scholarship,ask_scholarship,4,10
show me the way to AI and Data Science Lab,find_location,10,15
where is the admissions office,ask_admission,5,0
overnight stay in hostel,ask_hostel,4,7
which floor is Humanities and Communication department,ask_department,7,3
who should i contact for Computer Lab,ask_contact,7,2
hostel room availability,ask_hostel,3,7
i found someone bag what should i do,lost_found,8,16
who should i contact for HOD Office - Mechanical Engineering,ask_contact,10,2
where is Humanities and Communication faculty room,faculty_query,7,13
who handles hostel issues,ask_contact,4,2
student social events this week,social_life,5,20
hostel fee payment process,ask_hostel,4,7
any events today,ask_event,3,4
is there a coding club,ask_club,5,1
where can i print assignment,service_query,5,19
scholarship interview process,ask_scholarship,3,10
give me details about Engineering Physics Lab,facility_info,7,12
where should i report lost item,lost_found,6,16
where can i meet my project supervisor,faculty_query,7,13
price of samosa,menu_query,3,17
where can i get bonafide certificate,service_query,6,19
I want to meet new people at university,social_life,8,20
where is Artificial Intelligence and Data Science faculty room,faculty_query,9,13
where is the placement cell,ask_placement,5,9
dance competition on campus,ask_fest,4,6
where is a comfortable place to sit,recommend_place,7,18
fee concession process,ask_scholarship,3,10
merit list for admission,ask_admission,4,0
is there any scholarship available,ask_scholarship,5,10
how much is coffee,menu_query,4,17
menu for today,menu_query,3,17
scholarship deadline this year,ask_scholarship,4,10
menu for today,menu_query,3,17
internship opportunities on campus,ask_placement,4,9
i want to propose a girl,fallback,6,14
hostel curfew timing,ask_hostel,3,7
price of samosa,menu_query,3,17
hostel warden meeting timing,ask_hostel,4,7
welcome week schedule,ask_admission,3,0
fellowship opportunities campus,ask_scholarship,3,10
menu for today,menu_query,3,17
where is the hod office of Humanities and Communication,faculty_query,9,13
how to reach Accounts Office,find_location,5,15
someone stole my laptop what do i do,lost_found,8,16
i need first aid,emergency,4,11
when is Student Services Office open,ask_hours,6,8
I want to apply to this university,ask_admission,7,0
exam schedule for final year,ask_exam,5,5
is cafeteria open on sunday,ask_hours,5,8
suggest a quiet study place,recommend_place,5,18
transcript request process,ask_exam,3,5
my wifi is not working,service_query,5,19
where can i return books,service_query,5,19
hostel complaint procedure,ask_hostel,3,7
how to adjust to university life,social_life,6,20
financial aid office location,ask_scholarship,4,10
take me to Engineering Chemistry Lab,find_location,6,15
where is medical room,emergency,4,11
what services does Dean Academic Office provide,facility_info,7,12
how do i meet new people,fallback,6,14
i want to propose a girl,fallback,6,14
where can i study peacefully,recommend_place,5,18
how to get a student ID after admission,ask_admission,8,0
debate society details,ask_club,3,1
is cafeteria open on sunday,ask_hours,5,8
menu for today,menu_query,3,17
where can i study peacefully,recommend_place,5,18
location of Management Department,find_location,4,15
is IT Department Washrooms open today,ask_hours,6,8
scholarship application form,ask_scholarship,3,10
placement statistics this year,ask_placement,4,9
where can i study peacefully,recommend_place,5,18
what is Engineering Physics Lab used for,facility_info,7,12
where is the hod office of Electrical Engineering,faculty_query,8,13
i lost my bag,lost_found,4,16
how to apply for re-evaluation,ask_exam,5,5
i want to propose a girl,fallback,6,14
how do i cook pasta,fallback,5,14
